Time [s],P1 [kPa],P2 [kPa],P3 [kPa]
51.230000000000004,43.722788110359275,7.881221640650528,84.89599442308155
51.24,76.46008687620039,2.3379720093969736,57.70194308847669
51.25,89.99851075932223,23.56603039556947,22.93545798713987
51.26,75.92801930968879,58.406965218518316,2.165012906695173
51.27,42.96852497400856,85.24146002755661,8.29001291131442
51.28,11.576133102584022,87.40318329467594,37.52068388300351
51.29,1.2510007718399299,63.537072592784945,71.71192970287184
51.300000000000004,18.419359858353097,28.459824533187934,89.62082015134537
51.31,52.42324404939697,3.9695058443474487,80.10725389494694
51.32,82.12709845633005,5.299714002059927,49.07318881437592
51.33,89.05209539195259,31.635888819803988,15.81201434745619
51.34,68.87780529238039,66.60280608572134,1.0193859583401643
51.35,34.148621186817174,88.43890380850617,13.912473371010902
51.36,6.482820459788534,83.54051574064688,46.47666480827237
51.370000000000005,3.1172385623419587,54.94558744033036,78.43717761573083
51.38,26.16117006997067,20.460702050069244,89.87813244918264
51.39,61.26330014847069,1.5791173916079129,73.65758572756756
51.4,86.54094608318046,10.082612512297983,39.87644192870054
51.410000000000004,86.22123518264964,40.680400789843425,9.598362076962644
51.42,60.49094028816496,74.29008178222357,1.7189753174787041
51.43,25.399111960362923,89.9328992058011,21.167987787135992
51.44,2.854290309725224,77.83171901033899,55.813992449257945
51.45,6.945860550903962,45.53203766370899,84.02210586284816
51.46,35.13026040199745,13.207691622881391,88.16205241024387
51.47,69.80098419593534,1.0650824069176663,65.63393601490563
51.480000000000004,89.28043799906503,16.70743088176469,30.512130879920203
51.49,81.37559881761393,50.36337500809681,4.761023825087303
51.5,51.019533033369115,80.98076908607162,4.499695489190691
51.51,17.203899175307107,89.39171376933892,29.904386717026394
51.52,1.1029227213678425,70.31811016038931,65.07896964355326
51.53,12.811658154234602,35.69475905494056,87.99358719688
51.54,45.00651296850512,7.210982717753178,84.28250843857535
51.550000000000004,77.5153415357633,2.725728160832529,56.258932160270184
51.56,89.95199436410674,25.063597076346007,21.484407582958514
51.57,74.50474536570744,60.22485874202476,1.77039329394377
51.58,40.853581295689345,86.15068764742414,9.495729066854553
51.59,10.11444768942915,86.56122751723126,39.82432526086829
51.6,1.5924753553505235,61.18602994557047,73.72149793104361
51.61,20.652210918559792,25.953157243355257,89.89463640487988
51.620000000000005,55.329671348908256,2.9989876516353746,78.17134463192612
51.63,83.83269838863367,6.759671194731785,45.90763143186151
51.64,88.23358901525897,34.88345089980894,13.382958445066924
51.65,65.75186795151394,69.69000809264337,1.0581212933074
51.660000000000004,30.52222326537704,89.27851707637207,16.699258249851784
51.67,4.71652762272789,81.30986808131827,50.47360563010452
51.68,4.590648698393444,50.788718958953645,81.12063618137422
51.69,30.236577283669238,16.931456465090058,89.33197077862143
51.7,65.50510255946409,1.0731199908461915,69.92178041493153
51.71,88.16711421336444,13.219958313422106,35.11292760920456
51.72,83.92486323537257,45.72554440945436,6.849590178408664
51.730000000000004,55.441330057052205,78.09347963407943,2.9651877951219108
51.74,20.67995576373323,89.89691871034911,25.923124864600627
51.75,1.5825694736659885,73.67417819215676,61.24325454633909
51.76,10.217347450219622,39.65647302093228,86.62618382137254
51.77,41.14299073958449,9.325540460996912,86.03147306453953
51.78,74.8265213050598,1.8513315593911324,59.82214928177908
51.79,89.97497393197324,21.970220325979874,24.55480501640495
51.800000000000004,76.99918586653652,56.97242875056229,2.528382848234534
51.81,44.0941865940459,84.7218015960651,7.684009674014065
51.82,12.074180126558051,87.65349615293134,36.7723239399551
51.83,1.210652296552422,63.8993074972286,71.39004324738156
51.84,18.393852163703784,28.48953236456034,89.61662001426153
51.85,52.75172211350089,3.8511603487363844,79.89712130950596
51.86,82.51876921946243,5.603807623167597,48.37742437354235
51.870000000000005,88.82157275434962,32.64934981236455,15.029075928354215
51.88,67.65145627401277,67.84839841014134,1.0001426498744195
51.89,32.42533871834501,88.87450510882472,15.200154643220154
51.9,5.491755817666457,82.37696426859026,48.63128109785972
51.910000000000004,3.9535420107244557,52.46720199077796,80.07925975167471
51.92,28.80005402199395,18.128531773843857,89.57141875012726
51.93,64.25944387503807,1.1738912096430087,71.06666797327382
51.94,87.80195375161516,12.386747720355721,36.311298761707896
51.95,84.4548866621764,44.65250841227617,7.392602793524577
51.96,56.333636412923425,77.46180855060658,2.704552502034555
51.97,21.316250344363567,89.94225643037149,25.24149250867707
51.980000000000004,1.6845237301795688,74.14127634172176,60.67420209382408
51.99,9.944063309319873,40.1042971836593,86.45164378509348
52.0,40.84848331376545,9.498743689483653,86.15277727158363
52.01,74.72061427896854,1.8241758443337424,59.95521203372982
52.02,89.97546761180594,21.98277971014454,24.541751951341162
52.03,76.87872692613325,57.13679835317424,2.4844721823546205
52.04,43.768770126239396,84.87457012463192,7.856657627140476
52.050000000000004,11.758590740130373,87.49689571905499,37.24451379863292
52.06,1.2770331932328491,63.31795172086939,71.90501816919264
52.07,19.026109397288767,27.760545455507703,89.71334969806793
52.08,53.684613578124996,3.5270044404989047,79.28838570400936
52.09,83.11927614531808,6.10444322106318,47.276281760210885
52.1,88.51668885336686,33.85881621218403,14.124493355380645
52.11,66.41455673795018,69.05923944284994,1.0262011545101843
52.120000000000005,30.934106445757365,89.19810237806387,16.367789740972444
52.13,4.7670282912075805,81.38441958361787,50.34855344913983
52.14,4.663806535129112,50.604981836961535,81.23121547571802
52.15,30.703263361515518,16.5530804860883,89.2436606728796
52.160000000000004,66.22232052020668,1.0341981367023696,69.24348425339005
52.17,88.47103946720478,13.99925054554862,34.02971003491909
52.18,83.18478649850331,47.15346359641182,6.161747671598577
52.19,53.7390010446553,79.25234446969294,3.5086520151534395
52.2,19.005419030659322,89.7104199345317,27.784160524438917
52.21,1.2637872667529697,71.80804909869873,63.42816602505552
52.22,11.907985339511232,37.02013100863205,87.57188802282865
52.230000000000004,44.11863974682914,7.6711215833653545,84.71024282898749
52.24,77.22091270604753,2.6113125540498237,56.66777662998002
52.25,89.94991106362214,25.103036438308575,21.44705151842614
52.26,74.11558928733272,60.70573673329954,1.6786713732808818
52.27,39.88325977107037,86.53828862795305,10.07844965790283
52.28,9.25815354727927,85.98347960662795,41.258367430232916
52.29,1.9433177689978534,59.38536421018557,75.17132137150988
52.300000000000004,22.65741148798116,23.847896752973,89.99469633539285
52.31,58.07935620265471,2.244021652636804,76.1766256160429
52.32,85.4054767090891,8.492872231504377,42.60165180552742
52.33,87.02840151255354,38.582510024880015,10.889086618061137
52.34,61.88977452205381,73.13413679736095,1.4760860495610093
52.35,26.182052649523605,89.87640707819509,20.441539166748353
52.36,2.926856112313908,78.00410603297092,55.56903960406806
52.370000000000005,7.131963546432036,45.16203460447161,84.20600594171447
52.38,36.09710926639067,12.533465027794094,87.86943011768591
52.39,71.13622631015838,1.1814832051253175,64.18229298475339
52.4,89.62535469691457,18.447101698496642,28.42754319521029
52.410000000000004,79.61275445198126,53.19089505321154,3.6963480573851997
52.42,47.554807873570155,82.96961959101112,5.975570262292269
52.43,14.1640921907136,88.53094283881505,33.804964948838325
52.44,1.0322537937001064,66.26684573760214,69.20090333082855
52.45,16.66383995305135,30.56600316987903,89.27016139009469
52.46,50.95756543047141,4.5240116180625805,81.01842681361907
